timestamps,ax,ay,az,mag
508066,0.83,-0.24,-0.07,8.68
508044,0.96,-0.11,-0.05,9.67
508088,0.80,-0.38,-0.08,8.86
508110,0.84,-0.29,-0.05,8.92
508132,0.84,-0.20,-0.05,8.67
508154,0.87,-0.13,-0.02,8.81
508176,0.84,-0.16,-0.12,8.66
508198,0.83,-0.22,-0.08,8.57
508220,0.85,-0.14,-0.06,8.61
508242,0.82,-0.15,-0.10,8.42
508264,0.82,-0.19,-0.05,8.45
508286,0.83,-0.20,0.05,8.53
508308,0.85,-0.20,0.11,8.81
508330,0.85,-0.13,0.26,9.00
508352,0.90,-0.29,0.24,9.72
508374,0.87,-0.22,0.14,9.11
508396,0.86,-0.15,0.13,8.79
508418,0.91,-0.12,0.14,9.31
508440,0.87,-0.25,0.10,9.14
508462,0.83,-0.39,0.07,9.23
508484,1.12,-0.52,-0.01,12.33
508506,1.36,-0.82,-0.52,16.74
508528,1.20,-0.57,-0.59,14.53
508550,1.34,-0.30,-0.46,14.45
508572,1.25,0.03,0.15,12.62
508594,1.23,0.38,1.03,16.52
508616,1.17,0.39,0.83,14.89
508638,0.87,-0.17,0.70,11.35
508660,0.48,-0.53,0.74,10.28
508682,0.16,-0.67,0.72,9.96
508704,0.13,-0.41,0.50,6.62
508726,0.34,-0.21,0.58,7.10
508748,0.53,-0.10,0.61,8.19
508770,0.46,-0.09,0.65,8.00
508792,0.26,-0.34,0.62,7.57
508814,0.46,-0.53,0.67,9.67
508836,0.65,-0.24,0.57,9.05
508858,0.59,-0.09,0.59,8.39
508880,0.68,-0.24,0.43,8.42
508902,0.92,-0.19,0.19,9.56
508924,0.78,0.06,0.38,8.68
508946,0.29,-0.29,0.20,4.57
508968,0.43,-0.04,0.15,4.55
508990,1.02,-0.50,-0.23,11.59
509012,0.60,-0.52,-0.07,7.99
509034,1.35,-0.81,-0.49,16.46
509056,0.90,-0.22,0.79,12.17
509078,0.70,0.05,0.44,8.30
509100,0.42,0.08,0.20,4.74
509122,1.06,-0.15,0.24,10.95
509144,1.15,-0.15,0.22,11.77
509166,0.69,-0.17,-0.03,7.14
509188,0.80,-0.31,-0.08,8.58
509210,0.88,-0.48,0.06,10.01
509232,0.82,-0.33,0.05,8.84
509254,0.84,-0.07,0.06,8.44
509276,0.91,0.03,0.07,9.16
509298,0.88,-0.05,0.04,8.82
509320,0.84,-0.28,0.04,8.84
509342,0.82,-0.41,-0.00,9.11
509364,0.81,-0.23,-0.11,8.50
509386,0.86,0.01,-0.06,8.62
509408,0.90,0.05,-0.09,9.06
509430,0.85,-0.15,-0.14,8.76
509452,0.81,-0.27,-0.10,8.59
509474,0.82,-0.21,0.08,8.55
509496,0.86,-0.21,0.12,8.90
509518,0.91,-0.27,0.09,9.56
509540,0.86,-0.21,0.08,8.91
509562,0.83,-0.14,0.04,8.45
509584,0.92,-0.20,0.05,9.43
509606,0.88,-0.40,0.10,9.77
509628,1.17,-0.72,-0.14,13.82
509650,1.49,-1.05,-0.51,18.89
509672,1.25,-0.88,-0.65,16.63
509694,1.33,-0.37,-0.30,14.14
509716,1.40,0.05,0.57,15.09
509738,1.10,0.45,1.48,18.96
509760,1.25,0.48,0.48,14.22
509782,0.63,-0.08,0.72,9.59
509804,0.46,-0.50,0.71,9.78
509826,0.16,-0.70,0.69,9.93
509848,-0.10,-0.50,0.58,7.71
509870,0.50,-0.20,0.46,7.10
509892,0.41,-0.02,0.64,7.60
509914,0.33,-0.42,0.58,7.87
509936,0.37,-0.53,0.64,9.11
509958,0.51,-0.06,0.60,7.90
509980,0.65,0.01,0.60,8.87
510002,0.78,-0.10,0.60,9.89
510024,0.84,-0.04,0.44,9.48
510046,0.71,-0.30,0.17,7.85
510068,0.48,-0.43,0.12,6.60
510090,0.36,-0.47,0.04,5.93
510112,0.49,-0.50,-0.39,7.98
510134,0.39,-0.10,-0.28,4.93
510156,0.44,0.06,0.14,4.67
510178,1.87,-0.92,-1.37,24.99
510200,1.47,-0.59,0.47,16.55
510222,0.07,-0.11,-0.09,1.55
510244,0.32,-0.15,0.05,3.56
510266,1.24,-0.25,0.73,14.57
510288,1.31,-0.08,0.44,13.87
510310,0.55,-0.31,-0.01,6.35
510332,0.63,-0.59,-0.10,8.65
510354,0.99,-0.30,0.20,10.56
510376,0.95,0.05,0.15,9.60
510398,0.84,0.12,-0.06,8.54
510420,0.85,-0.19,-0.01,8.76
510442,0.84,-0.49,-0.03,9.74
510464,0.72,-0.42,-0.05,8.38
510486,0.85,-0.22,-0.05,8.75
510508,0.92,-0.02,-0.02,9.25
510530,0.92,0.04,-0.09,9.28
510552,0.82,-0.14,-0.10,8.36
510574,0.81,-0.23,-0.11,8.50
510596,0.82,-0.20,-0.14,8.56
510618,0.83,-0.11,-0.03,8.38
510640,0.88,-0.17,0.07,8.98
510662,0.91,-0.35,0.07,9.78
510684,0.96,-0.30,-0.00,10.09
510706,0.87,-0.30,-0.06,9.26
510728,0.90,-0.41,-0.10,9.91
510750,1.18,-0.61,-0.18,13.43
510772,1.63,-1.00,-0.44,19.60
510794,1.27,-0.99,-0.58,17.18
510816,1.31,-0.30,-0.08,13.49
510838,1.12,0.06,0.83,14.00
510860,1.27,0.43,1.40,19.37
510882,0.97,0.75,0.77,14.43
510904,0.72,0.06,0.59,9.31
510926,0.49,-0.36,0.72,9.41
510948,0.28,-0.64,0.68,9.74
510970,-0.14,-0.47,0.53,7.20
510992,0.32,-0.15,0.43,5.57
511014,0.45,-0.04,0.60,7.51
511036,0.33,-0.45,0.57,7.95
511058,0.35,-0.78,0.56,10.28
511080,0.46,-0.31,0.50,7.48
511102,0.71,-0.19,0.58,9.33
511124,0.92,-0.25,0.54,10.95
511146,0.71,-0.04,0.30,7.73
511168,0.54,-0.17,0.16,5.83
511190,0.74,-0.46,-0.01,8.73
511212,0.50,-0.39,-0.03,6.34
511234,0.37,-0.29,-0.31,5.62
511256,0.49,-0.19,-0.26,5.87
511278,0.61,-0.14,0.03,6.24
511300,0.70,-0.20,0.11,7.34
511322,1.87,-0.97,-0.02,21.12
511344,0.67,-0.22,0.07,7.12
511366,0.45,0.03,-0.30,5.43
511388,0.90,0.01,0.36,9.67
511410,1.29,-0.10,0.58,14.14
511432,0.75,-0.29,0.26,8.44
511454,0.58,-0.55,-0.19,8.22
511476,0.85,-0.46,-0.05,9.64
511498,0.94,-0.09,0.14,9.60
511520,0.91,0.10,0.09,9.24
511542,0.84,0.02,-0.06,8.42
511564,0.88,-0.27,-0.00,9.24
511586,0.83,-0.27,0.05,8.79
511608,0.75,-0.26,0.00,7.93
511630,0.85,-0.28,0.00,8.93
511652,0.85,-0.14,0.04,8.61
511674,0.80,-0.06,0.06,8.07
511696,0.82,-0.10,0.11,8.29
511718,0.82,-0.19,0.13,8.53
511740,0.82,-0.25,0.16,8.71
511762,0.82,-0.21,0.16,8.65
511784,0.85,-0.16,0.08,8.71
511806,0.88,-0.23,-0.02,9.15
511828,0.89,-0.27,-0.06,9.34
511850,0.87,-0.27,-0.10,9.19
511872,0.80,-0.39,-0.07,8.97
511894,1.03,-0.52,-0.08,11.54
511916,1.46,-0.73,-0.04,16.35
511938,1.30,-0.77,-0.35,15.51
511960,1.17,-0.52,-0.29,13.16
511982,1.19,-0.24,0.17,12.25
512004,1.11,-0.00,0.70,13.12
512026,0.62,0.26,1.10,12.93
512048,1.00,0.10,0.46,11.02
512070,0.59,-0.20,0.56,8.41
512092,0.45,-0.47,0.58,8.70
512114,0.24,-0.30,0.48,6.15
512136,0.31,-0.02,0.40,5.12
512158,0.47,-0.05,0.56,7.30
512180,0.61,-0.38,0.62,9.45
512202,0.45,-0.53,0.57,9.04
512224,0.35,-0.50,0.55,8.21
512246,0.67,-0.43,0.61,10.02
512268,0.78,-0.24,0.60,10.16
512290,0.67,-0.01,0.43,7.96
512312,0.64,-0.07,0.20,6.70
512334,0.77,-0.21,0.09,8.05
512356,0.69,-0.36,0.05,7.78
512378,0.43,-0.56,-0.06,7.08
512400,0.27,-0.60,-0.41,7.70
512422,0.39,-0.26,-0.26,5.38
512444,0.75,-0.17,0.02,7.73
512466,1.87,-0.63,-0.19,19.86
512488,0.91,-0.32,-0.07,9.67
512510,0.52,-0.21,0.03,5.62
512532,0.84,-0.50,0.33,10.34
512554,0.88,-0.37,0.47,10.61
512576,0.81,0.02,0.26,8.51
512598,0.95,0.12,-0.02,9.58
512620,0.87,-0.50,0.01,10.01
512642,0.74,-0.58,0.02,9.43
512664,0.91,0.03,-0.00,9.15
512686,0.96,0.03,-0.02,9.58
512708,0.88,-0.31,-0.03,9.34
512730,0.79,-0.31,-0.08,8.51
512752,0.87,-0.23,-0.06,9.00
512774,0.86,-0.17,-0.08,8.82
512796,0.83,-0.14,-0.03,8.43
512818,0.87,-0.22,0.06,9.04
512840,0.83,-0.18,0.10,8.56
512862,0.80,-0.22,0.10,8.34
512884,0.84,-0.26,0.10,8.85
512906,0.89,-0.26,0.08,9.29
512928,0.84,-0.22,0.11,8.78
512950,0.82,-0.22,0.12,8.59
512972,0.81,-0.24,0.13,8.54
512994,0.81,-0.25,0.10,8.54
513016,0.78,-0.28,0.06,8.29
513038,0.79,-0.32,0.08,8.54
513060,0.82,-0.33,0.22,9.10
513082,0.81,-0.35,0.32,9.39
513104,0.76,-0.28,0.32,8.70
513126,0.77,-0.16,0.31,8.43
513148,0.78,-0.07,0.36,8.63
513170,0.78,-0.09,0.40,8.82
513192,0.73,-0.16,0.37,8.31
513214,0.66,-0.21,0.36,7.81
513236,0.65,-0.24,0.36,7.80
513258,0.68,-0.27,0.31,7.90
513280,0.68,-0.26,0.29,7.85
513302,0.67,-0.28,0.31,7.90
513324,0.69,-0.31,0.30,8.15
513346,0.75,-0.31,0.27,8.54
513368,0.75,-0.29,0.29,8.52
513390,0.79,-0.32,0.25,8.89
513412,0.71,-0.31,0.28,8.30
513434,0.65,-0.32,0.25,7.67
513456,0.65,-0.33,0.25,7.68
513478,0.69,-0.26,0.23,7.73
